"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"Myo18a",4309.30374271605,0.117975054666866,0.0526743437568579,2.23970620709454,0.0251100023405034,0.108449086083899,FALSE
"Myo18b",27.9661536598689,0.149685655865006,0.17543101054659,0.853245132651467,0.393523379771013,0.609156181557734,FALSE
"Myo19",349.262955764132,-0.249255577354429,0.0845582448975342,-2.94773830341998,0.0032010792371631,0.0289252262259571,FALSE
"Myo1a",43.3984193252759,-0.554969371594488,0.169117102706437,-3.28156858598645,0.00103231415309975,0.0138495442368379,FALSE
"Myo1b",855.095692944912,-0.00213655707762977,0.0588874742391679,-0.0362820295017624,0.9710574788852,0.987718006413284,FALSE
"Myo1c",1205.05340110232,0.130152888225838,0.0615916081030566,2.11315944224193,0.0345871233684689,0.133646508545645,FALSE
"Myo1d",650.702649734913,-0.430987099340178,0.0934655721452385,-4.61118558896164,4.00378878929277e-06,0.000388395467033761,FALSE
"Myo1e",573.103069663358,-0.110449931335153,0.0665041216391722,-1.66079828757705,0.0967539652127868,0.255161961755093,FALSE
"Myo1f",55.5627381366421,0.107621155931614,0.136938651329935,0.78590781263294,0.431921497179303,0.641880510410128,FALSE
"Myo1g",13.5372860390449,0.152297351193556,0.240390023989159,0.633542726383787,0.526379288555607,0.715595116723112,FALSE
"Myo1h",16.9845778095165,0.174976243939768,0.224249631129634,0.780274389118693,0.435229384260034,0.644721202288321,FALSE
"Myo3b",8.74562868288737,0.57114010366124,0.332307690092053,1.71870865673626,0.0856674349701341,0.23506081228941,FALSE
"Myo5a",17857.3133299602,0.132856869781793,0.0736428836613412,1.80406935709847,0.071220434779011,0.209935040542927,FALSE
"Myo5b",139.374267261236,0.3014501735219,0.291179943147411,1.03527107761433,0.300542332903956,0.518478662341373,FALSE
"Myo5c",223.338783936336,0.080079321432588,0.101254521858648,0.790871557759955,0.42901894726128,0.639685098176671,FALSE
"Myo6",7595.16259107638,-0.119122405835886,0.04377318771595,-2.7213555158214,0.0065014799030542,0.0462680505882767,FALSE
"Myo7a",712.141681702662,0.0058652881028228,0.0904394564168902,0.0648531994242219,0.948290883550645,0.976242463868485,FALSE
"Myo9a",5127.36138037234,-0.096138983670521,0.0778900553334891,-1.23429086369111,0.217094539160788,0.423851262833511,FALSE
"Myo9b",2466.85711988868,-0.17094557557684,0.0760045818021851,-2.24914829505614,0.0245030627773865,0.106391177269033,FALSE
"Myoc",309.050445572331,-0.484250707020422,0.20917492207723,-2.3150514517301,0.0206101164545339,0.0956248785500801,FALSE
"Myocd",6.62247849407483,-0.0565138793623048,0.314989475884246,-0.179415135072871,0.857611748136381,0.929922694021176,FALSE
"Myof",339.861043195682,0.23519266894092,0.127504797829998,1.84457897227132,0.0650988081775643,0.198665232758551,FALSE
"Myom1",81.7652411923613,0.0754003543660859,0.120238592626961,0.627089462033332,0.53060059437421,0.718525592066943,FALSE
"Myom2",12.2345517731551,0.199523982910245,0.266740128757982,0.748008872303112,0.454454805984537,0.659170138478835,FALSE
"Myom3",16.7892465555172,-0.151636877221523,0.219847810903609,-0.689735670317897,0.490360429746379,0.688257057544224,FALSE
"Mypn",11.5093929804967,0.519043524294781,0.324883108250363,1.5976316130748,0.110124986567826,0.277585352294133,FALSE
